School Name,URL,State,Address,Latitude,Longitude
Towson University,http://towson.edu,MD,"8000 York Rd, Towson, MD 21252, USA",39.3935895,-76.611192
University of  Baltimore,http://ubalt.edu,MD,"1420 N Charles St, Baltimore, MD 21202, USA",39.3059189,-76.6164504
University of Maryland,http://umaryland.edu,MD,"620 W. Lexington St., Baltimore, MD 21201",39.2917241,-76.62489
University of  Maryland Baltimore County,http://umbc.edu,MD,"1000 Hilltop Cir, Baltimore, MD 21250, USA",39.2589368,-76.7132097
University of Maryland,http://umd.edu,MD,"7999 REGENTS DR, COLLEGE PARK, MD 20742",38.9866767,-76.9395044
University of Maryland University College,http://umuc.edu,MD,"3501 University Blvd E, Adelphi, MD 20783, USA",38.9864472,-76.9539928
University System of Maryland,http://usmd.edu,MD,"3300 Metzerott Rd, Adelphi, MD 20783, USA",39.0047745,-76.9541109
United States Naval Academy,http://usna.edu,MD,"121 BLAKE RD, ANNAPOLIS, MD 21402",38.9819141,-76.4869885
Washington College,http://washcoll.edu,MD,"300 Washington Ave, Chestertown, MD 21620, USA",39.2184284,-76.0673379
Wor-Wic Community College,http://worwic.edu,MD,"32000 Campus Dr, Salisbury, MD 21804, USA",38.3745946,-75.5016234
Saint John's College,http://sjc.edu,MD,"60 COLLEGE AVE, ANNAPOLIS, MD 21401",38.98148,-76.4919806
Asheville-Buncombe Technical Community College,http://abtech.edu,NC,"340 Victoria Rd, Asheville, NC 28801, USA",35.5709438,-82.5565173
Alamance Community College,http://alamancecc.edu,NC,"1247 Jimmie Kerr Rd, Graham, NC 27253, USA",36.0667853,-79.3575561
Appalachian State University,http://appstate.edu,NC,"John E. Thomas Hall, 287 Rivers St, Boone, NC 28608, USA",36.2109506,-81.6777048
Bladen Community College,http://bladencc.edu,NC,"7418 NC Hwy 41W, Dublin, NC 28332, USA",34.6861718,-77.9976689
Body Therapy Institute,http://bti.edu,NC,"300 Southwind Road, Siler City, NC 27344, USA",35.7800672,-79.3369183
Campbell University,http://campbell.edu,NC,"143 Main St, Buies Creek, NC 27506, USA",35.4091517,-78.7382773
Cape Fear Community College,http://cfcc.edu,NC,"411 N Front St, Wilmington, NC 28401, USA",34.2462759,-77.9484328
Charlotte School of Law,http://charlottelaw.edu,NC,"201 S College St #400, Charlotte, NC 28244, USA",35.224986,-80.843312
Chowan University,http://chowan.edu,NC,"1 University Dr, Murfreesboro, NC 27855, USA",36.4333908,-77.0978896
Central Piedmont Community College,http://cpcc.edu,NC,"1201 ELIZABETH AVE, CHARLOTTE, NC 28204",35.2174398,-80.830546
Craven Community College,http://cravencc.edu,NC,"800 College Ct, New Bern, NC 28562, USA",35.1135619,-77.1057045
Davidson College,http://davidson.edu,NC,"405 N Main St, Davidson, NC 28035, USA",35.5015528,-80.8423248
Duke University,http://duke.edu,NC,"CHAPEL DR, DURHAM, NC 27708",36.0002131,-78.9366946
Durham Technical Community College,http://durhamtech.edu,NC,"1637 E Lawson St, Durham, NC 27703, USA",35.974728,-78.8816976
Elizabeth City State University,http://ecsu.edu,NC,"1704 Weeksville Rd, Elizabeth City, NC 27909, USA",36.2830401,-76.2141887
East Carolina University,http://ecu.edu,NC,"E 5th St, Greenville, NC 27858, USA",35.6066409,-77.3559964
Elon University,http://elon.edu,NC,"100 CAMPUS DR, ELON, NC 27244",36.10498,-79.50425
Fayetteville Technical Community College,http://faytechcc.edu,NC,"2201 Hull Rd, Fayetteville, NC 28303, USA",35.0689219,-78.9274651
Forsyth Technical Community College,http://forsythtech.edu,NC,"2100 Silas Creek Pkwy, Winston-Salem, NC 27103, USA",36.0691051,-80.2705734
Gardner-Webb University,http://gardner-webb.edu,NC,"110 S Main St, Boiling Springs, NC 28017, USA",35.2475249,-81.6706979
Gaston College,http://gaston.edu,NC,"201 US-321, Dallas, NC 28034, USA",35.310218,-81.1887876
Guilford Technical Community College,http://gtcc.edu,NC,"601 E Main St, Jamestown, NC 27282, USA",35.9984465,-79.918786
Heritage Bible College,http://heritagebiblecollege.edu,NC,"494 Antioch Church Rd, Dunn, NC 28334, USA",35.3073978,-78.6642053
High Point University,http://highpoint.edu,NC,"1 N University Pkwy, High Point, NC 27268, USA",35.9708428,-79.995014
Isothermal Community College,http://isothermal.edu,NC,"286 I C C Loop Rd, Spindale, NC 28160, USA",35.337691,-81.9118303
Lenoir Community College,http://lenoircc.edu,NC,"231 North Carolina Hwy 58, Kinston, NC 28504, USA",35.2338386,-77.5710846
Lees McRae College,http://lmc.edu,NC,"191 Main St W, Banner Elk, NC 28604, USA",36.162553,-81.873382
Methodist University,http://methodist.edu,NC,"5400 Ramsey St, Fayetteville, NC 28311, USA",35.1296003,-78.8671408
The University of Mount Olive,http://umo.edu,NC,"634 Henderson St, Mt Olive, NC 28365, USA",35.2058644,-78.0701853
Montgomery Community College,http://montgomery.edu,NC,"340 Dekalb Pike, Blue Bell, PA 19422, USA",40.1771873,-75.279396
North Carolina Central University,http://nccu.edu,NC,"1801 Fayetteville St, Durham, NC 27707, USA",35.974768,-78.8978945
North Carolina School of Science and Mathematics,http://ncssm.edu,NC,"1219 Broad St, Durham, NC 27705, USA",36.0180346,-78.9215701
North Carolina State University,http://ncsu.edu,NC,"2101 HILLSBOROUGH ST, RALEIGH, NC 27695",35.7861174,-78.6634977
North Carolina Wesleyan College,http://ncwc.edu,NC,"North Carolina Wesleyan College, Rocky Mount, NC 27804, USA",36.0171946,-77.7756167
New Life Theological Seminary,http://nlts.edu,NC,"7520 E Independence Blvd, Charlotte, NC 28227, USA",35.1596175,-80.7372379
University of North Carolina,http://northcarolina.edu,NC,"Chapel Hill, NC, USA",35.9131996,-79.0558445
Piedmont Community College,http://piedmontcc.edu,NC,"1715 College Dr, Roxboro, NC 27573, USA",36.4314529,-78.979532
Pitt Community College,http://pittcc.edu,NC,"1986 Pitt Tech Rd, Winterville, NC 28590, USA",35.5495861,-77.4068109
Queens University of Charlotte,http://queens.edu,NC,"1900 Selwyn Ave, Charlotte, NC 28274, USA",35.188626,-80.8329724
Randolph Community College,http://randolph.edu,NC,"629 Industrial Park Ave, Asheboro, NC 27205, USA",35.6733597,-79.825516
Roanoke-Chowan Community College,http://roanokechowan.edu,NC,"109 Community College Rd, Ahoskie, NC 27910, USA",36.3254651,-77.0229819
Salem College,http://salem.edu,NC,"601 S Church St, Winston-Salem, NC 27101, USA",36.0875355,-80.2412056
Sampson Community College,http://sampsoncc.edu,NC,"1801 Sunset Ave, Clinton, NC 28328, USA",34.9904375,-78.3599458
